ticker,composite,technical,fundamental,sentiment,analysis_time
DJUN,7.434928054204859,0.4349280542048589,7.0,0.0,2025-02-14T17:31:05.553061
SMOT,7.422336970820139,0.4223369708201396,7.0,0.0,2025-02-14T18:16:06.319355
WTAI,7.412425858074559,0.41242585807455895,7.0,0.0,2025-02-14T18:23:57.137292
NUDM,7.40810262244887,1.4081026224488695,6.0,0.0,2025-02-14T18:02:53.918097
XBJA,7.405733634393598,0.40573363439359794,7.0,0.0,2025-02-14T18:24:19.616418
DAUG,7.392670286606552,0.39267028660655184,7.0,0.0,2025-02-14T17:29:28.703143
BDEC,7.377973872057132,0.37797387205713234,7.0,0.0,2025-02-14T17:24:43.033777
DJUL,7.365959074753055,0.3659590747530544,7.0,0.0,2025-02-14T17:31:00.105565
USEP,7.354954802038668,0.35495480203866736,7.0,0.0,2025-02-14T18:20:52.899574
ARKZ,7.34145047905535,-2.65854952094465,10.0,0.0,2025-02-14T17:22:03.356535
PJAN,7.317481394519072,0.3174813945190728,7.0,0.0,2025-02-14T18:07:37.509266
CBOE,7.313269992024909,1.8132699920249093,5.5,0.0,2025-02-14T17:28:17.553922
BBUS,7.279864441725545,0.27986444172554525,7.0,0.0,2025-02-14T17:24:41.516428
EVUS,7.274905341790704,0.27490534179070353,7.0,0.0,2025-02-14T17:35:14.753258
EFG,7.271201178452926,1.271201178452926,0.0,6.0,2025-02-14T17:33:26.452436
FUNL,7.270754937595485,0.2707549375954848,7.0,0.0,2025-02-14T17:40:22.127581
ACSI,7.263220206304346,1.2632202063043456,6.0,0.0,2025-02-14T17:19:30.449412
PBDE,7.250176082225357,0.25017608222535725,7.0,0.0,2025-02-14T18:05:52.488918
TSEP,7.244022895232043,1.2440228952320431,6.0,0.0,2025-02-14T18:19:26.372743
BJAN,7.236825032630259,0.23682503263025864,7.0,0.0,2025-02-14T17:25:04.243620
UFEB,7.226671803116995,1.226671803116995,6.0,0.0,2025-02-14T18:20:09.201298
SMIN,7.172621804582947,-1.8273781954170532,9.0,0.0,2025-02-14T18:15:50.341567
TILT,7.169779984015227,0.1697799840152264,7.0,0.0,2025-02-14T18:17:59.342507
PSFO,7.146201108423048,0.14620110842304754,7.0,0.0,2025-02-14T18:09:09.338010
NUDV,7.132814563026756,0.13281456302675565,7.0,0.0,2025-02-14T18:02:47.118495
FDEC,7.13128736462827,0.13128736462827034,7.0,0.0,2025-02-14T17:36:28.268810
MAYU,7.1106597800043465,0.11065978000434668,7.0,0.0,2025-02-14T17:58:23.779966
DAPR,7.097138010681517,1.097138010681517,6.0,0.0,2025-02-14T17:29:26.759580
CMCI,7.091944430214083,1.0919444302140833,6.0,0.0,2025-02-14T17:28:37.756393
XBAP,7.0836293525274225,1.083629352527423,6.0,0.0,2025-02-14T18:24:25.644395
PSMO,7.068780770287168,0.06878077028716731,7.0,0.0,2025-02-14T18:09:12.545280
